Epoch,Train_Loss,Val_Recall_1,Learning_Rate,Is_Best_Model
1,2.5644,14.71,0.000050,True
2,2.0697,16.32,0.000050,True
3,1.8435,18.31,0.000050,True
4,1.6837,20.05,0.000049,True
5,1.5718,19.71,0.000049,False
6,1.3665,26.88,0.000048,True
7,0.5263,31.35,0.000048,True
8,0.3259,38.86,0.000047,True
9,0.2421,43.31,0.000046,True
10,0.1919,38.78,0.000045,False
11,0.1644,47.41,0.000044,True
12,0.1546,35.40,0.000043,False
13,0.1333,45.24,0.000042,False
14,0.1244,39.29,0.000041,False
15,0.1167,38.17,0.000040,False
16,0.1053,40.05,0.000038,False
17,0.1047,38.78,0.000037,False
18,0.0977,36.59,0.000036,False
19,0.0886,38.28,0.000034,False
20,0.0831,43.44,0.000033,False
21,0.0829,40.37,0.000031,False
